A Greener Future Data 2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,Date,Longitude,Latitude,Location,City,Province,Country,Photos,Sponsor,Event,Coordinator,Volunteers,Strange items,Cigarette Butts,Tobacco Packaging ,Lighters,Paraphernalia,Plastic Grocery Bags,Other Plastic Bags,Paper Bags,Reusable Bags,Food Wrappers,Plastic Beverage Bottles,Plastic Bottle Caps,Plastic Lids,Plastic Cups/Plates,Paper Cups/Plates,Metal Bottle Caps,Cans,Glass Bottles,Straws,Utensils,Personal Hygiene,Clothing,Construction,Fishing,Plastic Pieces,Paper,Glass,Foam,Other,Syringes,TOTAL
,"January 1, 2017",,,Tim Hortons,Guelph,Ontario,Canada,,,New Years Day,Rochelle Byrne,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,"January 2, 2017",43.885711,-79.229272,Cornell,Markham,Ontario,Canada,,,,,1,,0,1,0,0,1,1,0,0,8,6,1,0,2,1,0,2,1,0,1,2,0,0,0,2,4,0,2,0,0,35
,"January 16, 2017",43.885711,-79.229272,Cornell,Markham,Ontario,Canada,,,,,1,,100,3,2,0,1,5,0,0,21,4,6,8,4,3,0,6,1,1,1,4,1,0,0,28,45,0,10,7,0,261
,"January 20, 2017",43.885711,-79.229272,Cornell,Markham,Ontario,Canada,,,,,1,,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67
,"January 22, 2017",43.885711,-79.229272,Cornell,Markham,Ontario,Canada,,,,,1,,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,5
,"January 23, 2017",43.885711,-79.229272,Cornell,Markham,Ontario,Canada,,,,,1,,346,0,0,0,0,0,0,0,0,7,0,0,0,0,0,4,1,0,0,0,0,0,0,52,0,0,0,0,0,410
,"January 24, 2017",43.885711,-79.229272,Cornell,Markham,Ontario,Canada,,,,,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2
,"January 25, 2017",,,,Various,,,,,5 Pieces a Day,,5,,14,1,0,0,2,2,3,0,19,3,0,7,2,10,0,6,1,1,0,0,3,0,0,11,16,0,0,0,0,101
,"January 25, 2017",43.885711,-79.229272,Cornell Community Centre,Markham,Ontario,Canada,,,,,1,,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,600
,"January 26, 2017",,,,Various,,,,,5 Pieces a Day,,5,,167,3,0,0,0,0,0,0,3,2,0,2,0,4,0,0,0,0,0,0,0,0,0,4,11,0,0,3,0,199
,"January 27, 2017",,,,Various,,,,,5 Pieces a Day,,5,,2,0,0,0,0,0,0,0,1,3,0,7,0,4,0,0,0,1,0,2,1,0,0,4,6,0,2,1,0,34
,"January 28, 2017",,,,Various,,,,,5 Pieces a Day,,5,,3,4,1,0,3,13,7,0,23,4,0,18,2,39,0,8,0,8,0,0,3,1,0,16,44,0,2,10,0,209
,"January 28, 2017",,,,St. Catharines,Ontario ,,,,,,2,,43,8,0,0,0,1,3,0,10,7,2,12,3,21,0,5,4,10,0,0,0,8,0,11,19,0,2,3,0,172
,"January 29, 2017",,,,Various,,,,,5 Pieces a Day,,5,,0,4,0,0,0,4,0,0,14,8,1,15,0,31,0,9,0,3,0,0,0,0,0,9,26,0,0,4,0,128
,"January 29, 2017",43.885711,-79.229272,Cornell Community Centre,Markham,Ontario,Canada,,,,,1,,100,5,0,0,1,0,0,0,13,11,2,4,2,6,0,2,0,5,0,1,2,0,0,9,14,1,3,0,0,181
,"January 30, 2017",,,,Various,,,,,5 Pieces a Day,,5,,1040,2,0,0,2,4,1,0,4,2,1,3,0,5,0,5,1,1,0,1,0,0,0,6,29,0,0,14,0,1121
,"January 30, 2017",25.077912,-77.339206,,Nassau,New Providence,The Bahamas,,,5 Piece Challenge,,10,,0,0,0,0,5,1,1,0,5,1,1,2,2,4,1,1,1,0,3,3,0,0,0,14,3,0,1,4,0,53
,"February 4, 2017",,,,Various,,,,,5 Pieces a Day,,5,,0,3,0,0,1,1,0,0,15,7,1,13,0,14,0,8,0,1,0,0,0,1,0,3,18,0,0,2,0,88
,"February 7, 2017",,,,Various,,,,,5 Pieces a Day,,5,,0,6,0,0,4,0,2,0,10,10,6,10,1,26,0,6,2,3,0,0,2,0,0,21,21,0,2,1,0,133
,"February 15, 2017",,,,Various,,,,,5 Pieces a Day,,5,,0,2,0,0,0,1,1,0,2,3,0,4,0,9,0,2,0,1,0,0,0,3,0,3,14,0,0,2,0,47
,"Feb, 23, 17",43.885711,-79.229272,Cornell Community Centre,Markham,Ontario,Canada,,,,,1,,600,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,606
,"February 26, 2017",43.885711,-79.229272,Cornell Community Centre,Markham,Ontario,Canada,,,,,1,,0,5,1,0,3,6,2,0,47,8,5,14,4,1,2,0,0,10,2,3,0,32,0,32,28,1,8,4,0,218
,"March 17, 2017",43.892462,-79.218278,Cornell Rouge Woods,Markham,Ontario,Canada,,,,,1,,0,4,1,0,2,0,1,0,14,21,7,0,2,8,0,6,0,9,1,5,8,2,0,20,14,0,0,6,0,131
,"March 21, 2017",43.885711,-79.229272,Cornell Community Centre,Markham,Ontario,Canada,,,,,1,,0,6,0,0,7,12,2,0,93,36,0,22,10,21,0,5,0,6,0,1,3,4,0,20,85,1,22,1,0,357
,"April 1, 2017",42.952794,-78.696125,Patriots and Heroes Park,Buffalo,New York,USA,,,,,1,,0,0,0,0,0,0,0,0,4,0,0,1,3,0,0,0,0,0,0,0,1,0,0,4,6,10,0,1,0,30
,"April 19, 2017",43.885711,-79.229272,Cornell,Markham,Ontario,Canada,,,,,1,,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,119
